key,count,weight,topic
"""earning""",4,0.006327381,earnings
"""profit""",3,0.005876984,earnings
"""release""",1,0.005857143,earnings
"""quarter""",4,0.005536508,earnings
"""report""",5,0.005476587,earnings
"""yen""",3,0.005301984,earnings
"""fiscal""",3,0.005179365,earnings
"""second""",1,0.005142857,earnings
"""honda""",1,0.005142857,earnings
"""read""",4,0.004230556,earnings
"""drop""",2,0.003580556,earnings
"""record""",1,0.003571429,earnings
"""lower""",1,0.003571429,earnings
"""year""",2,0.003009524,earnings
"""crunch""",1,0.003,earnings
"""vehicle""",3,0.002910714,earnings
"""chip""",2,0.002871429,earnings
"""forecast""",2,0.002538095,earnings
"""sale""",2,0.002437698,earnings
"""car""",1,0.002142857,earnings
"""investor""",2,0.000514286,earnings
"""institutional""",1,0.00047619,earnings
"""acquire""",1,0.00047619,earnings
"""stock""",5,0.000457937,earnings
"""pickup""",1,0.000452381,earnings
"""rise""",2,0.000442857,earnings
"""share""",2,0.000377381,earnings
"""late""",3,0.000369841,earnings
"""article""",1,0.000333333,earnings
"""covering""",1,0.000333333,earnings
"""sell""",1,0.000333333,earnings
"""auto""",1,0.000309524,earnings
"""manufacturer""",1,0.000309524,earnings
"""holding""",1,0.000285714,earnings
"""company""",1,0.000285714,earnings
"""move""",2,0.000183333,earnings
"""midday""",2,0.000183333,earnings
"""post""",2,0.000127778,earnings
"""big""",2,0.000123413,earnings
"""price""",2,0.000119841,earnings
"""trading""",1,0.000114286,earnings
"""large""",1,0.000114286,earnings
"""make""",1,0.000114286,earnings
"""give""",1,0.000109524,earnings
"""maker""",1,0.000109524,earnings
"""fall""",1,0.000109524,earnings
"""dividend""",1,0.000109524,earnings
"""trade""",1,0.000109524,earnings
"""substantial""",1,0.000109524,earnings
"""quarterly""",1,0.000109524,earnings
"""reinstate""",1,0.000109524,earnings
"""result""",2,5.91E-05,earnings
"""issue""",2,4.68E-05,earnings
"""spike""",1,4.40E-05,earnings
"""buy""",2,3.65E-05,earnings
"""beat""",1,3.33E-05,earnings
"""break""",1,3.33E-05,earnings
"""analyst""",1,3.33E-05,earnings
"""swagger""",1,3.33E-05,earnings
"""raise""",1,3.33E-05,earnings
"""gain""",1,3.33E-05,earnings
"""shortage""",2,2.26E-05,earnings
"""production""",2,2.26E-05,earnings
"""automaker""",2,1.63E-05,earnings
"""suspend""",1,1.43E-05,earnings
"""fallout""",1,1.15E-05,earnings
"""wednesday,""",1,1.15E-05,earnings
"""pandemic""",1,1.15E-05,earnings
"""solid""",1,1.15E-05,earnings
"""jump""",1,1.15E-05,earnings
"""recovery""",1,1.15E-05,earnings
"""global""",1,1.11E-05,earnings
"""news""",1,1.03E-05,earnings
"""mexican""",1,1.03E-05,earnings
"""analysis""",1,1.03E-05,earnings
"""graph""",1,1.03E-05,earnings
"""plant""",1,1.03E-05,earnings
"""quote""",1,1.03E-05,earnings
"""statement""",1,1.03E-05,earnings
"""factory""",1,1.03E-05,earnings
"""time""",1,1.03E-05,earnings
"""union""",1,1.03E-05,earnings
"""material""",1,1.03E-05,earnings
"""real""",1,1.03E-05,earnings
"""accord""",1,1.03E-05,earnings
"""month""",1,9.52E-06,earnings
"""operate""",1,9.13E-06,earnings
"""operating""",1,9.13E-06,earnings
"""world""",1,9.13E-06,earnings
"""expect""",1,8.33E-06,earnings
"""jack""",1,8.33E-06,earnings
"""supply""",1,8.33E-06,earnings
"""shrug""",1,8.33E-06,earnings
"""|""",1,5.95E-06,earnings
"""car""",4,0.018333333,supply chain
"""japanese""",4,0.016166667,supply chain
"""production""",3,0.014083333,supply chain
"""say""",3,0.012833333,supply chain
"""tumble""",1,0.01175,supply chain
"""shortage""",3,0.011416667,supply chain
"""automaker""",2,0.011166667,supply chain
"""expand""",2,0.0105,supply chain
"""sale""",1,0.0095,supply chain
"""chip""",3,0.009166667,supply chain
"""vehicle""",1,0.00775,supply chain
"""world""",1,0.0075,supply chain
"""market""",1,0.0075,supply chain
"""big""",1,0.0075,supply chain
"""chinese""",1,0.0075,supply chain
"""hit""",1,0.0075,supply chain
"""microchip""",1,0.0075,supply chain
"""carmaker""",1,0.0075,supply chain
"""season""",1,0.006916667,supply chain
"""update""",2,0.006583333,supply chain
"""line""",2,0.006583333,supply chain
"""affect""",2,0.006583333,supply chain
"""temporary""",2,0.006583333,supply chain
"""halt""",2,0.006583333,supply chain
"""industry""",2,0.006583333,supply chain
"""resume""",2,0.006583333,supply chain
"""late""",2,0.006583333,supply chain
"""case""",2,0.006583333,supply chain
"""automobile""",2,0.006583333,supply chain
"""suspension""",2,0.006583333,supply chain
"""month""",1,0.00625,supply chain
"""cent""",1,0.00625,supply chain
"""sell""",1,0.00625,supply chain
"""year""",1,0.00525,supply chain
"""british""",1,0.00475,supply chain
"""team""",1,0.00475,supply chain
"""semiconductor""",1,0.003666667,supply chain
"""nd""",1,0.003416667,supply chain
"""announce""",1,0.003416667,supply chain
"""end""",1,0.00325,supply chain
"""forecast""",1,0.003166667,supply chain
"""giant""",1,0.002166667,supply chain
"""supply""",1,0.002166667,supply chain
"""see""",1,0.002166667,supply chain
"""immediate""",1,0.002166667,supply chain
"""downgrade""",1,0.002166667,supply chain
"""chain""",1,0.002166667,supply chain
"""revise""",1,0.002166667,supply chain
